scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability_available_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
persistent_failure,1,10,0,0,0,1.0,0.7119870543479919,0.7224646210670471,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6302406350781444,15138,60552,605520,605520,1211040,0.0014711999992869096,0.8296356000009837
persistent_failure,2,10,0,0,0,1.0,0.7037186741828918,0.7134045362472534,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7524187546514514,15138,60552,605520,605520,1211040,0.0015781999991304474,0.06683030000021972
persistent_failure,3,10,0,0,0,1.0,0.7040059328079223,0.7041273713111877,0.3299492385786802,0.30319148936170215,0.9827586206896551,0.4634146341463415,0.8293227486975935,15138,60552,605520,605520,1211040,0.0007116000015230384,0.07078209999963292
persistent_failure,4,10,0,0,0,1.0,0.6877864301204681,0.6945580244064331,0.39593908629441626,0.327683615819209,1.0,0.49361702127659574,0.8749689903249814,15138,60552,605520,605520,1211040,0.0006699000005028211,0.06020379999972647
persistent_failure,5,8,2,0,0,1.0,0.681861162185669,0.6883944869041443,0.41624365482233505,0.3352601156069364,1.0,0.5021645021645021,0.9180104192508063,15138,60552,484416,484416,968832,0.0011785999995481689,0.048226200000499375
persistent_failure,6,8,2,0,0,1.0,0.6770506352186203,0.6810823082923889,0.4467005076142132,0.34545454545454546,0.9827586206896551,0.5112107623318386,0.9320267923592161,15138,60552,484416,484416,968832,0.0005798000001959736,0.04774659999930009
persistent_failure,7,8,2,0,0,1.0,0.6697411090135574,0.6734029054641724,0.5228426395939086,0.3783783783783784,0.9655172413793104,0.5436893203883495,0.942570081865542,15138,60552,484416,484416,968832,0.0012008000012428965,0.05985759999930451
persistent_failure,8,8,2,0,0,1.0,0.662830539047718,0.6649385094642639,0.6243654822335025,0.4375,0.9655172413793104,0.6021505376344086,0.9503845199702308,15138,60552,484416,484416,968832,0.0011790999997174367,0.04884870000023511
persistent_failure,9,8,2,0,0,1.0,0.6576795056462288,0.6553041338920593,0.7055837563451777,0.5,0.9655172413793104,0.6588235294117647,0.9562143388737285,15138,60552,484416,484416,968832,0.001222500000949367,0.05000299999846902
persistent_failure,10,8,2,0,0,1.0,0.6462183967232704,0.6453081965446472,0.766497461928934,0.5612244897959183,0.9482758620689655,0.7051282051282052,0.9591912676755148,15138,60552,484416,484416,968832,0.00115650000043388,0.049170100000992534
persistent_failure,11,8,2,0,0,1.0,0.6424198150634766,0.6343820095062256,0.8527918781725888,0.6790123456790124,0.9482758620689655,0.7913669064748201,0.9617960803770776,15138,60552,484416,484416,968832,0.0013014000014663907,0.05262099999890779
persistent_failure,12,8,2,0,0,1.0,0.6334406808018684,0.623033344745636,0.9086294416243654,0.7941176470588235,0.9310344827586207,0.8571428571428571,0.964524931778715,15138,60552,484416,484416,968832,0.0006334999998216517,0.05214420000083919
persistent_failure,13,8,2,0,0,1.0,0.6268093511462212,0.6105198264122009,0.9390862944162437,0.8709677419354839,0.9310344827586207,0.9,0.9662614735797569,15138,60552,484416,484416,968832,0.0011594999996304978,0.04708610000125191
persistent_failure,14,8,2,0,0,1.0,0.6233631521463394,0.5981048941612244,0.9390862944162437,0.9107142857142857,0.8793103448275862,0.8947368421052632,0.9675018605805011,15138,60552,484416,484416,968832,0.0006266000000323402,0.04974740000034217
persistent_failure,15,8,2,0,0,1.0,0.6092244684696198,0.5843422412872314,0.9441624365482234,0.9272727272727272,0.8793103448275862,0.9026548672566371,0.9693624410816175,15138,60552,484416,484416,968832,0.0012850000002799788,0.059193400000367546
