partition,method,rounds,clients,total_communication_bytes,total_communication_mib,total_round_time_seconds,mean_round_time_seconds,communication_per_round_mib
iid,IID,15,10,18165600.0,17.324066162109375,1.4997452000006883,0.09998301333337922,1.154937744140625
balanced_noniid,Balanced Non-IID,15,10,18165600.0,17.324066162109375,1.4892168999995188,0.09928112666663459,1.154937744140625
noniid,Unbalanced Non-IID,15,10,18165600.0,17.324066162109375,1.536959899999601,0.10246399333330673,1.154937744140625
