partition,method,rounds,clients,local_epochs,batch_size,learning_rate,final_accuracy,final_precision,final_recall,final_f1,final_roc_auc,final_test_loss,best_accuracy,best_accuracy_round,best_f1,best_f1_round,best_roc_auc,best_roc_auc_round,total_communication_bytes,total_communication_mib,total_round_time_seconds,mean_round_time_seconds
iid,IID,15,10,1,512,0.001,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9611758868767056,0.4579211473464966,0.9238578680203046,8,0.8514851485148515,8,0.9611758868767056,15,18165600.0,17.324066162109375,1.4997452000006883,0.09998301333337922
balanced_noniid,Balanced Non-IID,15,10,1,512,0.001,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9567104936740264,0.5465102791786194,0.9289340101522844,10,0.8627450980392157,10,0.9567104936740264,15,18165600.0,17.324066162109375,1.4892168999995188,0.09928112666663459
noniid,Unbalanced Non-IID,15,10,1,512,0.001,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9568345323741008,0.5552849769592285,0.934010152284264,11,0.8737864077669902,11,0.9568345323741008,15,18165600.0,17.324066162109375,1.536959899999601,0.10246399333330673
