round,available_clients,unavailable_clients,noisy_clients,stale_clients,mean_reliability
1,10,0,0,0,1.0
2,10,0,0,0,1.0
3,10,0,0,0,1.0
4,10,0,0,0,1.0
5,8,2,0,0,0.8
6,8,2,0,0,0.8
7,8,2,0,0,0.8
8,8,2,0,0,0.8
9,8,2,0,0,0.8
10,8,2,0,0,0.8
11,8,2,0,0,0.8
12,8,2,0,0,0.8
13,8,2,0,0,0.8
14,8,2,0,0,0.8
15,8,2,0,0,0.8
