partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
noniid,1,10,1,512,0.001,0.7119870543479919,0.7224646210670471,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6302406350781444,15138,60552,605520,605520,1211040,0.001661199999944074,0.7727532999997493
noniid,2,10,1,512,0.001,0.7037186741828918,0.7134045362472534,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7524187546514514,15138,60552,605520,605520,1211040,0.0015484000005017151,0.049587500000598084
noniid,3,10,1,512,0.001,0.7040059328079223,0.7041273713111877,0.3299492385786802,0.30319148936170215,0.9827586206896551,0.4634146341463415,0.8293227486975935,15138,60552,605520,605520,1211040,0.0014122000002316781,0.05645120000008319
noniid,4,10,1,512,0.001,0.6877864301204681,0.6945580244064331,0.39593908629441626,0.327683615819209,1.0,0.49361702127659574,0.8749689903249814,15138,60552,605520,605520,1211040,0.0013688999997611973,0.053867100000388746
noniid,5,10,1,512,0.001,0.6873663365840912,0.685030996799469,0.4416243654822335,0.34146341463414637,0.9655172413793104,0.5045045045045045,0.9077152071446292,15138,60552,605520,605520,1211040,0.0014080999999350752,0.05045830000017304
noniid,6,10,1,512,0.001,0.6826327979564667,0.6747814416885376,0.6091370558375635,0.4263565891472868,0.9482758620689655,0.5882352941176471,0.9217315802530389,15138,60552,605520,605520,1211040,0.0007131000002118526,0.05124329999944166
noniid,7,10,1,512,0.001,0.675757759809494,0.664271891117096,0.7309644670050761,0.5247524752475248,0.9137931034482759,0.6666666666666666,0.9286777474572067,15138,60552,605520,605520,1211040,0.0014108999994277838,0.05640910000056465
noniid,8,10,1,512,0.001,0.6678330183029175,0.6528338193893433,0.8578680203045685,0.7142857142857143,0.8620689655172413,0.78125,0.935251798561151,15138,60552,605520,605520,1211040,0.001394099999743048,0.0519189999995433
noniid,9,10,1,512,0.001,0.659450912475586,0.6405483484268188,0.8934010152284264,0.8245614035087719,0.8103448275862069,0.8173913043478261,0.9395931530637559,15138,60552,605520,605520,1211040,0.0013862000005246955,0.05552480000005744
noniid,10,10,1,512,0.001,0.651285594701767,0.6279793977737427,0.9238578680203046,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.9428181592656909,15138,60552,605520,605520,1211040,0.0014227000001483248,0.05634559999998601
noniid,11,10,1,512,0.001,0.6443189144134521,0.614608645439148,0.934010152284264,1.0,0.7758620689655172,0.8737864077669902,0.9456710493674026,15138,60552,605520,605520,1211040,0.0014126000005489914,0.05800249999992957
noniid,12,10,1,512,0.001,0.6358410716056824,0.6008788347244263,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9481518233688911,15138,60552,605520,605520,1211040,0.0014259999998103012,0.05498059999990801
noniid,13,10,1,512,0.001,0.626395171880722,0.586083710193634,0.9137055837563451,1.0,0.7068965517241379,0.8282828282828283,0.9515008682709005,15138,60552,605520,605520,1211040,0.0013891999997213134,0.05355329999929381
noniid,14,10,1,512,0.001,0.6198201298713684,0.5710933804512024,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9537335648722401,15138,60552,605520,605520,1211040,0.0016664000004311674,0.056805500000336906
noniid,15,10,1,512,0.001,0.6061086773872375,0.5552849769592285,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9568345323741008,15138,60552,605520,605520,1211040,0.0014111999998931424,0.05905879999954777
