scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability_available_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
mixed_full,1,10,0,1,0,0.9366666666666668,0.7124541461467743,0.7225497961044312,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6283800545770281,15138,60552,605520,605520,1211040,0.0007356000005529495,0.7662076999986311
mixed_full,2,10,0,1,1,0.9366666666666668,0.7040695548057556,0.7147754430770874,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7344331431406599,15138,60552,605520,605520,1211040,0.0015155000000959262,0.06764529999963997
mixed_full,3,10,0,1,1,0.9366666666666668,0.7053599953651428,0.7067084908485413,0.3197969543147208,0.3,0.9827586206896551,0.4596774193548387,0.8120813693872487,15138,60552,605520,605520,1211040,0.0022877999999764143,0.0748793000002479
mixed_full,4,10,0,1,1,0.9366666666666668,0.6896682500839233,0.6984301209449768,0.36548223350253806,0.31693989071038253,1.0,0.48132780082987553,0.8579756884147854,15138,60552,605520,605520,1211040,0.0013307999997778097,0.06055989999913436
mixed_full,5,9,1,1,1,0.9296296296296297,0.6910853650834825,0.6896916627883911,0.4263959390862944,0.33532934131736525,0.9655172413793104,0.49777777777777776,0.8669064748201438,15138,60552,544968,544968,1089936,0.0013317000011738855,0.05681739999999991
mixed_full,6,9,1,1,1,0.9296296296296297,0.688903013865153,0.6806798577308655,0.583756345177665,0.41044776119402987,0.9482758620689655,0.5729166666666666,0.8800545770280328,15138,60552,544968,544968,1089936,0.001323999998930958,0.0526229000006424
mixed_full,7,9,1,1,1,0.9296296296296297,0.6836603548791673,0.6716955304145813,0.6751269035532995,0.4722222222222222,0.8793103448275862,0.6144578313253012,0.8939469114363682,15138,60552,544968,544968,1089936,0.0013300999999046326,0.06295540000064648
mixed_full,8,9,1,1,1,0.9296296296296297,0.6760392983754476,0.6620846390724182,0.8223350253807107,0.6666666666666666,0.7931034482758621,0.7244094488188977,0.9022575043413544,15138,60552,544968,544968,1089936,0.001390999999784981,0.06546590000107244
mixed_full,9,9,1,1,1,0.9296296296296297,0.6710387865702311,0.6521650552749634,0.8730964467005076,0.8,0.7586206896551724,0.7787610619469026,0.907095013644257,15138,60552,544968,544968,1089936,0.0010387999991507968,0.05867309999848658
mixed_full,10,9,1,1,1,0.9296296296296297,0.6665223439534506,0.642093300819397,0.9035532994923858,0.975609756097561,0.6896551724137931,0.8080808080808081,0.9150334904490202,15138,60552,544968,544968,1089936,0.0006099999991420191,0.05838740000035614
mixed_full,11,9,1,1,1,0.9296296296296297,0.6609408789210849,0.6317928433418274,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.920863309352518,15138,60552,544968,544968,1089936,0.0007000999994488666,0.05984259999968344
mixed_full,12,9,1,1,1,0.9296296296296297,0.6568484041425917,0.620786190032959,0.868020304568528,1.0,0.5517241379310345,0.7111111111111111,0.9271892830563135,15138,60552,544968,544968,1089936,0.0012662000008276664,0.06253250000008848
mixed_full,13,9,1,1,1,0.9296296296296297,0.649159722858005,0.6097708940505981,0.8527918781725888,1.0,0.5,0.6666666666666666,0.9295460183577275,15138,60552,544968,544968,1089936,0.0012908999997307546,0.05926969999927678
mixed_full,14,9,1,1,1,0.9296296296296297,0.6462013456556532,0.598254382610321,0.8375634517766497,1.0,0.4482758620689655,0.6190476190476191,0.9322748697593649,15138,60552,544968,544968,1089936,0.0007741000008536503,0.056203199999799835
mixed_full,15,9,1,1,1,0.9296296296296297,0.6357518566979302,0.5863351225852966,0.8375634517766497,1.0,0.4482758620689655,0.6190476190476191,0.9343835276606302,15138,60552,544968,544968,1089936,0.0012907000000268454,0.05536190000020724
