scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability_available_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
sensor_noise,1,10,0,2,0,0.9333333333333332,0.7125867486000061,0.7225185632705688,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6277598610766558,15138,60552,605520,605520,1211040,0.0005911999996897066,0.7746112000004359
sensor_noise,2,10,0,2,0,0.9333333333333332,0.7040824830532074,0.7135121822357178,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7488216323492929,15138,60552,605520,605520,1211040,0.0013993000011396362,0.06802630000129284
sensor_noise,3,10,0,2,0,0.9333333333333332,0.7050007045269012,0.7043552994728088,0.3299492385786802,0.30319148936170215,0.9827586206896551,0.4634146341463415,0.8251054328950633,15138,60552,605520,605520,1211040,0.0012133000000176253,0.07037800000034622
sensor_noise,4,10,0,2,0,0.9333333333333332,0.6896693050861359,0.6948798298835754,0.39593908629441626,0.327683615819209,1.0,0.49361702127659574,0.8709997519225998,15138,60552,605520,605520,1211040,0.0013861999996152008,0.07078369999908318
sensor_noise,5,10,0,2,0,0.9333333333333332,0.6864889979362487,0.6853451728820801,0.4416243654822335,0.34146341463414637,0.9655172413793104,0.5045045045045045,0.9047382783428429,15138,60552,605520,605520,1211040,0.0014133000004221685,0.06563589999859687
sensor_noise,6,10,0,2,0,0.9333333333333332,0.6845147609710693,0.6751907467842102,0.6091370558375635,0.4263565891472868,0.9482758620689655,0.5882352941176471,0.9199950384519969,15138,60552,605520,605520,1211040,0.0014885000000504078,0.06784119999974791
sensor_noise,7,10,0,2,0,0.9333333333333332,0.6769582569599152,0.6648090481758118,0.7309644670050761,0.5242718446601942,0.9310344827586207,0.6708074534161491,0.9274373604564624,15138,60552,605520,605520,1211040,0.0008491000007779803,0.08171039999979257
sensor_noise,8,10,0,2,0,0.9333333333333332,0.6699442565441132,0.6535068154335022,0.8578680203045685,0.7142857142857143,0.8620689655172413,0.78125,0.9335152567601092,15138,60552,605520,605520,1211040,0.0016281999996863306,0.10758929999974498
sensor_noise,9,10,0,2,0,0.9333333333333332,0.6604165434837341,0.6412960290908813,0.8883248730964467,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.9388489208633093,15138,60552,605520,605520,1211040,0.0014885000000504078,0.08299520000036864
sensor_noise,10,10,0,2,0,0.9333333333333332,0.6526738822460174,0.6288450360298157,0.9238578680203046,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.9420739270652444,15138,60552,605520,605520,1211040,0.0017867000005935552,0.08192690000032599
sensor_noise,11,10,0,2,0,0.9333333333333332,0.6473799347877502,0.6156370639801025,0.934010152284264,1.0,0.7758620689655172,0.8737864077669902,0.9450508558670305,15138,60552,605520,605520,1211040,0.0007506999991164776,0.09517840000080469
sensor_noise,12,10,0,2,0,0.9333333333333332,0.6386291742324829,0.6020086407661438,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9481518233688911,15138,60552,605520,605520,1211040,0.0007824000003893161,0.10923139999977138
sensor_noise,13,10,0,2,0,0.9333333333333332,0.6293237805366516,0.5873565673828125,0.9137055837563451,1.0,0.7068965517241379,0.8282828282828283,0.9508806747705284,15138,60552,605520,605520,1211040,0.001795099999071681,0.08910389999982726
sensor_noise,14,10,0,2,0,0.9333333333333332,0.6198448956012725,0.5724943280220032,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9533614487720169,15138,60552,605520,605520,1211040,0.0016465000007883646,0.0880883999998332
sensor_noise,15,10,0,2,0,0.9333333333333332,0.609667843580246,0.5568139553070068,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9567104936740263,15138,60552,605520,605520,1211040,0.001983699999982491,0.08791010000095412
