scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_raw_reliability,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
mixed_full,1,10,0,1,0,0.7317710774163025,0.7124541461467743,0.7223949432373047,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6281939965269163,15138,60552,605520,605520,1211040,0.0018053000003419584,0.772606900000028
mixed_full,2,10,0,1,1,0.7333427816120902,0.704022490978241,0.7144345641136169,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7353014140411809,15138,60552,605520,605520,1211040,0.0008316999992530327,0.055109900000388734
mixed_full,3,10,0,1,1,0.7330327081064228,0.7052791237831115,0.7061751484870911,0.3299492385786802,0.30319148936170215,0.9827586206896551,0.4634146341463415,0.8113371371868021,15138,60552,605520,605520,1211040,0.0007857000000512926,0.050916700000016135
mixed_full,4,10,0,1,1,0.735768210032538,0.6894870519638061,0.6977216005325317,0.3756345177664975,0.32044198895027626,1.0,0.48535564853556484,0.8574795336144877,15138,60552,605520,605520,1211040,0.0008192999994207639,0.055489300000772346
mixed_full,5,9,1,1,1,0.7301182508836422,0.6908239589797126,0.6887075901031494,0.43147208121827413,0.3373493975903614,0.9655172413793104,0.5,0.8646737782188043,15138,60552,544968,544968,1089936,0.0007033000001683831,0.045472800000425195
mixed_full,6,9,1,1,1,0.7305207095691381,0.688547260231442,0.6794205904006958,0.6040609137055838,0.421875,0.9310344827586207,0.5806451612903226,0.8773257256263954,15138,60552,544968,544968,1089936,0.0007712000005994923,0.051200199999584584
mixed_full,7,9,1,1,1,0.7314704225583594,0.6832733750343323,0.6700890064239502,0.700507614213198,0.49514563106796117,0.8793103448275862,0.6335403726708074,0.8914661374348796,15138,60552,544968,544968,1089936,0.0007915000005596085,0.0458466000000044
mixed_full,8,9,1,1,1,0.7327976853932011,0.6754768159654405,0.6601239442825317,0.8527918781725888,0.7301587301587301,0.7931034482758621,0.7603305785123967,0.8992805755395682,15138,60552,544968,544968,1089936,0.0007592000001750421,0.05027359999985492
mixed_full,9,9,1,1,1,0.7337218119728992,0.6704021361139085,0.6498661041259766,0.8934010152284264,0.8775510204081632,0.7413793103448276,0.8037383177570093,0.9046142396427685,15138,60552,544968,544968,1089936,0.0007892000012361677,0.0459262000003946
mixed_full,10,9,1,1,1,0.7345982698857217,0.665826419989268,0.6394068002700806,0.9035532994923858,0.975609756097561,0.6896551724137931,0.8080808080808081,0.9120565616472339,15138,60552,544968,544968,1089936,0.0007940000014059478,0.04528779999964172
mixed_full,11,9,1,1,1,0.7357031972778627,0.6601851582527161,0.6286635994911194,0.8730964467005076,1.0,0.5689655172413793,0.7252747252747253,0.9190027288514017,15138,60552,544968,544968,1089936,0.0017735999990691198,0.04797030000008817
mixed_full,12,9,1,1,1,0.7365892273207113,0.6559654209348891,0.6171302795410156,0.8629441624365483,1.0,0.5344827586206896,0.6966292134831461,0.9243363929546018,15138,60552,544968,544968,1089936,0.0007576999996672384,0.04721120000067458
mixed_full,13,9,1,1,1,0.7381174694314715,0.6480793952941895,0.6055881977081299,0.8375634517766497,1.0,0.4482758620689655,0.6190476190476191,0.9278094765566858,15138,60552,544968,544968,1089936,0.000746600000638864,0.04558350000115752
mixed_full,14,9,1,1,1,0.7388953458563622,0.6450390683280097,0.5935059785842896,0.8375634517766497,1.0,0.4482758620689655,0.6190476190476191,0.9305383279583229,15138,60552,544968,544968,1089936,0.0007978000012371922,0.040774500001134584
mixed_full,15,9,1,1,1,0.7410063984009684,0.634499192237854,0.5809933543205261,0.8223350253807107,1.0,0.39655172413793105,0.5679012345679012,0.9338873728603324,15138,60552,544968,544968,1089936,0.0005940999999438645,0.048296200000550016
