partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds,experiment,category,dropout_rate,participating_clients,dropped_clients,scenario,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability_available_clients
iid,1,10.0,1.0,512.0,0.001,0.7309812188148499,0.7185814380645752,0.299492385786802,0.2938144329896907,0.9827586206896552,0.4523809523809524,0.6813445795088068,15138,60552,605520,605520,1211040,0.000616500000433,0.7461890000004132,IID,distribution,,,,,,,,,
iid,2,10.0,1.0,512.0,0.001,0.7210220694541931,0.7053734064102173,0.3248730964467005,0.3015873015873015,0.9827586206896552,0.4615384615384615,0.8151823368891095,15138,60552,605520,605520,1211040,0.0007969000007506,0.0576089999995019,IID,distribution,,,,,,,,,
iid,3,10.0,1.0,512.0,0.001,0.7061027944087982,0.6915391087532043,0.4111675126903553,0.3333333333333333,1.0,0.5,0.8768295708260978,15138,60552,605520,605520,1211040,0.0014240999998946,0.0603414999995948,IID,distribution,,,,,,,,,
iid,4,10.0,1.0,512.0,0.001,0.6952043950557709,0.676957905292511,0.5939086294416244,0.4166666666666667,0.9482758620689656,0.5789473684210527,0.9149094517489458,15138,60552,605520,605520,1211040,0.001369299999169,0.0512301999997362,IID,distribution,,,,,,,,,
iid,5,10.0,1.0,512.0,0.001,0.6814018964767456,0.6615668535232544,0.7614213197969543,0.5591397849462365,0.896551724137931,0.6887417218543046,0.926693128256016,15138,60552,605520,605520,1211040,0.0013733999994656,0.0527498000001287,IID,distribution,,,,,,,,,
iid,6,10.0,1.0,512.0,0.001,0.6675700366497039,0.6450547575950623,0.8934010152284264,0.8135593220338984,0.8275862068965517,0.8205128205128205,0.9358719920615232,15138,60552,605520,605520,1211040,0.001405899999554,0.0524633000004541,IID,distribution,,,,,,,,,
iid,7,10.0,1.0,512.0,0.001,0.6532443761825562,0.6281231045722961,0.9187817258883249,0.9375,0.7758620689655172,0.8490566037735849,0.9397171917638304,15138,60552,605520,605520,1211040,0.0006108999996286,0.0526466000001164,IID,distribution,,,,,,,,,
iid,8,10.0,1.0,512.0,0.001,0.6361871421337127,0.6100360751152039,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9448027784668817,15138,60552,605520,605520,1211040,0.0006018000003678,0.05546509999931,IID,distribution,,,,,,,,,
iid,9,10.0,1.0,512.0,0.001,0.6201299667358399,0.5909982323646545,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.9469114363681468,15138,60552,605520,605520,1211040,0.0013812999995934,0.0495160999998915,IID,distribution,,,,,,,,,
iid,10,10.0,1.0,512.0,0.001,0.5988286972045899,0.5707608461380005,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.950756636070454,15138,60552,605520,605520,1211040,0.001382100000228,0.0568760999994992,IID,distribution,,,,,,,,,
