dropout_rate,round,participating_clients,dropped_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
0.4,1,6,4,0.7109616796175638,0.7217463850975037,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6410320019846192,15138,60552,363312,363312,726624,0.0009874999996100087,0.7687250999988464
0.4,2,6,4,0.7173769871393839,0.7107791304588318,0.3147208121827411,0.2962962962962963,0.9655172413793104,0.4534412955465587,0.7137186802282313,15138,60552,363312,363312,726624,0.0009059999993041856,0.035121099999742
0.4,3,6,4,0.6940259238084158,0.7014926671981812,0.3553299492385787,0.3114754098360656,0.9827586206896551,0.4730290456431535,0.8057553956834531,15138,60552,363312,363312,726624,0.000893000000360189,0.03982519999954093
0.4,4,6,4,0.6925321519374847,0.690754771232605,0.4213197969543147,0.3313253012048193,0.9482758620689655,0.49107142857142855,0.8538824113123294,15138,60552,363312,363312,726624,0.0003417000007175375,0.04146240000045509
0.4,5,6,4,0.6945113639036814,0.6826412081718445,0.4720812182741117,0.35443037974683544,0.9655172413793104,0.5185185185185185,0.9090796328454478,15138,60552,363312,363312,726624,0.0010409000005893176,0.04054829999950016
0.4,6,6,4,0.6898979445298513,0.6733760833740234,0.6192893401015228,0.43410852713178294,0.9655172413793104,0.5989304812834224,0.9257008186554204,15138,60552,363312,363312,726624,0.0009484000001975801,0.03789390000019921
0.4,7,6,4,0.6685464084148407,0.6627392172813416,0.7309644670050761,0.5242718446601942,0.9310344827586207,0.6708074534161491,0.932895063259737,15138,60552,363312,363312,726624,0.0009184000009554438,0.04100240000116173
0.4,8,6,4,0.6655515333016714,0.6556753516197205,0.7766497461928934,0.5760869565217391,0.9137931034482759,0.7066666666666667,0.9388489208633094,15138,60552,363312,363312,726624,0.0006534000003739493,0.037440000000060536
0.4,9,6,4,0.6569263438383738,0.6440772414207458,0.883248730964467,0.7611940298507462,0.8793103448275862,0.816,0.9471595137682958,15138,60552,363312,363312,726624,0.000912500001504668,0.03325570000015432
0.4,10,6,4,0.6507964432239532,0.6337739825248718,0.9137055837563451,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.9493922103696353,15138,60552,363312,363312,726624,0.0009021000005304813,0.03337250000004133
0.4,11,6,4,0.6426134208838145,0.6191369891166687,0.9390862944162437,1.0,0.7931034482758621,0.8846153846153846,0.9480277846688167,15138,60552,363312,363312,726624,0.0010038000000349712,0.04227969999919878
0.4,12,6,4,0.6264406740665436,0.6031930446624756,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9501364425700819,15138,60552,363312,363312,726624,0.0011211000000912463,0.040061900001092
0.4,13,6,4,0.6218645970026652,0.588829517364502,0.9137055837563451,1.0,0.7068965517241379,0.8282828282828283,0.9510047134706029,15138,60552,363312,363312,726624,0.000942399999985355,0.035011099998882855
0.4,14,6,4,0.6273974974950155,0.5837618112564087,0.9187817258883249,1.0,0.7241379310344828,0.84,0.955470106673282,15138,60552,363312,363312,726624,0.0009049000000231899,0.036791500000617816
0.4,15,6,4,0.5984966854254404,0.5703765153884888,0.9035532994923858,1.0,0.6724137931034483,0.8041237113402062,0.9565864549739518,15138,60552,363312,363312,726624,0.0009712000010040356,0.03649709999990591
