dropout_rate,round,participating_clients,dropped_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
0.2,1,8,2,0.7109598219394684,0.7226108312606812,0.2893401015228426,0.29081632653061223,0.9827586206896551,0.44881889763779526,0.6446291242867774,15138,60552,484416,484416,968832,0.0011873999992531026,0.7475329999997484
0.2,2,8,2,0.7015892937779427,0.7128840684890747,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7257504341354504,15138,60552,484416,484416,968832,0.0005067000001872657,0.040897600001699175
0.2,3,8,2,0.7140864431858063,0.7028642296791077,0.350253807106599,0.30978260869565216,0.9827586206896551,0.47107438016528924,0.8085462664351277,15138,60552,484416,484416,968832,0.001123899999583955,0.046416600000156905
0.2,4,8,2,0.6863929703831673,0.6956945657730103,0.39593908629441626,0.327683615819209,1.0,0.49361702127659574,0.8773257256263955,15138,60552,484416,484416,968832,0.0005383999996411148,0.041814700000031735
0.2,5,8,2,0.6929890438914299,0.6848706007003784,0.4467005076142132,0.34355828220858897,0.9655172413793104,0.5067873303167421,0.9077772264946664,15138,60552,484416,484416,968832,0.0005063000007794471,0.048276700001224526
0.2,6,8,2,0.6852463781833649,0.6771108508110046,0.5279187817258884,0.38095238095238093,0.9655172413793104,0.5463414634146342,0.9261969734557182,15138,60552,484416,484416,968832,0.001144199999544071,0.049617699998634635
0.2,7,8,2,0.6756284981966019,0.6663380861282349,0.6649746192893401,0.4661016949152542,0.9482758620689655,0.625,0.9345075663607045,15138,60552,484416,484416,968832,0.0011353999998391373,0.051250399999844376
0.2,8,8,2,0.665439784526825,0.655031681060791,0.7817258883248731,0.5824175824175825,0.9137931034482759,0.7114093959731543,0.9398412304639047,15138,60552,484416,484416,968832,0.0011431999992055353,0.052629800000431715
0.2,9,8,2,0.6575132757425308,0.6421818137168884,0.8984771573604061,0.796875,0.8793103448275862,0.8360655737704918,0.9444306623666584,15138,60552,484416,484416,968832,0.0011641999990388285,0.0515718000006018
0.2,10,8,2,0.6516326740384102,0.6288633942604065,0.9137055837563451,0.9019607843137255,0.7931034482758621,0.8440366972477065,0.9469114363681469,15138,60552,484416,484416,968832,0.0011587999997573206,0.04160360000059882
0.2,11,8,2,0.6475365906953812,0.6157052516937256,0.9390862944162437,1.0,0.7931034482758621,0.8846153846153846,0.9467873976680724,15138,60552,484416,484416,968832,0.001182899999548681,0.04923159999998461
0.2,12,8,2,0.6390965431928635,0.6029168963432312,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9483999007690399,15138,60552,484416,484416,968832,0.0011469000000943197,0.050795899998774985
0.2,13,8,2,0.6242373287677765,0.5886279940605164,0.9086294416243654,1.0,0.6896551724137931,0.8163265306122449,0.9486479781691888,15138,60552,484416,484416,968832,0.001162500000646105,0.04779980000057549
0.2,14,8,2,0.6078725755214691,0.5725347399711609,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9515008682709005,15138,60552,484416,484416,968832,0.0005049999999755528,0.04493750000074215
0.2,15,8,2,0.5957037135958672,0.5561949610710144,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9543537583726123,15138,60552,484416,484416,968832,0.001219199999468401,0.04528349999964121
