scenario,round,available_clients,failed_clients,noisy_clients,stale_clients,mean_reliability_available_clients,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
mixed,1,10,0,1,0,0.9366666666666665,0.7120241701602936,0.7227334976196289,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6249069709749441,15138,60552,605520,605520,1211040,0.0016352000002370914,0.9522333999993862
mixed,2,10,0,1,1,0.9366666666666665,0.7039398312568664,0.7173756957054138,0.29949238578680204,0.29381443298969073,0.9827586206896551,0.4523809523809524,0.698709997519226,15138,60552,605520,605520,1211040,0.00200330000006943,0.09454919999916456
mixed,3,10,0,1,1,0.9366666666666665,0.7065973699092865,0.7106043696403503,0.3197969543147208,0.3,0.9827586206896551,0.4596774193548387,0.777226494666336,15138,60552,605520,605520,1211040,0.0014768000000913162,0.09547709999969811
mixed,4,10,0,1,1,0.9366666666666665,0.6919107615947724,0.7041099071502686,0.3299492385786802,0.30319148936170215,0.9827586206896551,0.4634146341463415,0.8248573554949145,15138,60552,605520,605520,1211040,0.0018044999997073319,0.1058472000004258
mixed,5,10,0,1,1,0.9366666666666665,0.693597960472107,0.6978667378425598,0.36548223350253806,0.31693989071038253,1.0,0.48132780082987553,0.8590920367154552,15138,60552,605520,605520,1211040,0.0016644000006635906,0.09316770000077668
mixed,6,10,0,1,1,0.9366666666666665,0.6913598656654358,0.6909554600715637,0.4213197969543147,0.3372093023255814,1.0,0.5043478260869565,0.8831555445298933,15138,60552,605520,605520,1211040,0.0016067000015027588,0.15617420000126003
mixed,7,10,0,1,1,0.9366666666666665,0.6862582206726074,0.6845356225967407,0.4517766497461929,0.345679012345679,0.9655172413793104,0.509090909090909,0.9068469362441082,15138,60552,605520,605520,1211040,0.0015287999995052814,0.09280030000081751
mixed,8,10,0,1,1,0.9366666666666665,0.681577056646347,0.6776691675186157,0.5786802030456852,0.4074074074074074,0.9482758620689655,0.5699481865284974,0.9170181096502108,15138,60552,605520,605520,1211040,0.0014663000001746695,0.09897929999897315
mixed,9,10,0,1,1,0.9366666666666665,0.6762136280536651,0.6697850227355957,0.6649746192893401,0.4661016949152542,0.9482758620689655,0.625,0.9238402381543042,15138,60552,605520,605520,1211040,0.0016489999998157145,0.09864860000016051
mixed,10,10,0,1,1,0.9366666666666665,0.6707027852535248,0.6623215079307556,0.7309644670050761,0.5247524752475248,0.9137931034482759,0.6666666666666666,0.9283056313569833,15138,60552,605520,605520,1211040,0.001498600000559236,0.1001723999997921
mixed,11,10,0,1,1,0.9366666666666665,0.6661211609840393,0.6543349027633667,0.8324873096446701,0.6623376623376623,0.8793103448275862,0.7555555555555555,0.9337633341602581,15138,60552,605520,605520,1211040,0.0017838000003393972,0.10796039999877394
mixed,12,10,0,1,1,0.9366666666666665,0.6614429533481598,0.6465674638748169,0.883248730964467,0.7692307692307693,0.8620689655172413,0.8130081300813008,0.9366162242619698,15138,60552,605520,605520,1211040,0.0014836999998806277,0.09335880000071484
mixed,13,10,0,1,1,0.9366666666666665,0.6572827816009521,0.6377308964729309,0.9035532994923858,0.8545454545454545,0.8103448275862069,0.831858407079646,0.9397171917638303,15138,60552,605520,605520,1211040,0.0014645999999629566,0.09448469999915687
mixed,14,10,0,1,1,0.9366666666666665,0.6542439639568329,0.6295024752616882,0.9238578680203046,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.9417018109650211,15138,60552,605520,605520,1211040,0.001530899999124813,0.14459700000043085
mixed,15,10,0,1,1,0.9366666666666665,0.6448912978172302,0.62069171667099,0.934010152284264,0.9787234042553191,0.7931034482758621,0.8761904761904762,0.9440585462664352,15138,60552,605520,605520,1211040,0.001467600000978564,0.09595660000013595
