partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds
balanced_noniid,1,10,1,512,0.001,0.732064813375473,0.7220433354377747,0.29441624365482233,0.2923076923076923,0.9827586206896551,0.4505928853754941,0.6297444802778467,15138,60552,605520,605520,1211040,0.001420700000380748,0.7484636999997747
balanced_noniid,2,10,1,512,0.001,0.7226628661155701,0.7123901844024658,0.3096446700507614,0.296875,0.9827586206896551,0.456,0.7458447035475069,15138,60552,605520,605520,1211040,0.001464200000555138,0.05358840000008058
balanced_noniid,3,10,1,512,0.001,0.7151930689811706,0.7025723457336426,0.34517766497461927,0.3081081081081081,0.9827586206896551,0.4691358024691358,0.829694864797817,15138,60552,605520,605520,1211040,0.0013910000016039703,0.051620599999296246
balanced_noniid,4,10,1,512,0.001,0.7070846080780029,0.6924702525138855,0.40609137055837563,0.3314285714285714,1.0,0.4978540772532189,0.8743487968246093,15138,60552,605520,605520,1211040,0.0014184999999997672,0.05133419999947364
balanced_noniid,5,10,1,512,0.001,0.6954843044281006,0.6816031336784363,0.49746192893401014,0.3660130718954248,0.9655172413793104,0.5308056872037915,0.90858347804515,15138,60552,605520,605520,1211040,0.00046889999975974206,0.04757969999991474
balanced_noniid,6,10,1,512,0.001,0.6874940276145936,0.670432984828949,0.6649746192893401,0.46551724137931033,0.9310344827586207,0.6206896551724138,0.9229719672537832,15138,60552,605520,605520,1211040,0.0015660999997635372,0.05422529999850667
balanced_noniid,7,10,1,512,0.001,0.6763210773468018,0.6588791012763977,0.7969543147208121,0.6046511627906976,0.896551724137931,0.7222222222222222,0.9317787149590673,15138,60552,605520,605520,1211040,0.0013911000005464302,0.05604000000130327
balanced_noniid,8,10,1,512,0.001,0.6645339906215668,0.6466767191886902,0.8883248730964467,0.8,0.8275862068965517,0.8135593220338984,0.9372364177623418,15138,60552,605520,605520,1211040,0.0005722000005334849,0.04374409999945783
balanced_noniid,9,10,1,512,0.001,0.6530140936374664,0.633874237537384,0.9238578680203046,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.9410816174646489,15138,60552,605520,605520,1211040,0.0005956000004516682,0.04913800000031188
balanced_noniid,10,10,1,512,0.001,0.6403558492660523,0.6206570267677307,0.9289340101522843,1.0,0.7586206896551724,0.8627450980392157,0.9446787397668072,15138,60552,605520,605520,1211040,0.000597399999605841,0.0487740999997186
balanced_noniid,11,10,1,512,0.001,0.627833902835846,0.6069185137748718,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9470354750682213,15138,60552,605520,605520,1211040,0.0013806000006297836,0.05671020000045246
balanced_noniid,12,10,1,512,0.001,0.6158593535423279,0.5926623940467834,0.9137055837563451,1.0,0.7068965517241379,0.8282828282828283,0.9497643264698585,15138,60552,605520,605520,1211040,0.0013887999994040001,0.061649299999771756
balanced_noniid,13,10,1,512,0.001,0.6035217881202698,0.5779982209205627,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.952865293971719,15138,60552,605520,605520,1211040,0.0013808999992761528,0.05594630000086909
balanced_noniid,14,10,1,512,0.001,0.5882745802402496,0.5626491904258728,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9544777970726868,15138,60552,605520,605520,1211040,0.0013928000007581431,0.05453750000015134
balanced_noniid,15,10,1,512,0.001,0.5776631712913514,0.5465102791786194,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9567104936740263,15138,60552,605520,605520,1211040,0.0013596999997389503,0.05586550000043644
